#         phi         beta*phi         <Nv>_phi        <delNv^2>             dydx
     -4.88300000     -1.95763315             NaN             NaN             NaN
     -4.88200000     -1.95723225             NaN             NaN             NaN
     -4.88100000     -1.95683134             NaN             NaN             NaN
     -4.88000000     -1.95643043             NaN             NaN             NaN
     -4.87900000     -1.95602952             NaN             NaN             NaN
     -4.87800000     -1.95562861             NaN             NaN             NaN
     -4.87700000     -1.95522771             NaN             NaN             NaN
     -4.87600000     -1.95482680             NaN             NaN             NaN
     -4.87500000     -1.95442589             NaN             NaN             NaN
     -4.87400000     -1.95402498             NaN             NaN             NaN
     -4.87300000     -1.95362408             NaN             NaN             NaN
     -4.87200000     -1.95322317             NaN             NaN             NaN
     -4.87100000     -1.95282226             NaN             NaN             NaN
     -4.87000000     -1.95242135             NaN             NaN             NaN
     -4.86900000     -1.95202044             NaN             NaN             NaN
     -4.86800000     -1.95161954             NaN             NaN             NaN
     -4.86700000     -1.95121863             NaN             NaN             NaN
     -4.86600000     -1.95081772             NaN             NaN             NaN
     -4.86500000     -1.95041681             NaN             NaN             NaN
     -4.86400000     -1.95001590             NaN             NaN             NaN
     -4.86300000     -1.94961500             NaN             NaN             NaN
     -4.86200000     -1.94921409             NaN             NaN             NaN
     -4.86100000     -1.94881318             NaN             NaN             NaN
     -4.86000000     -1.94841227             NaN             NaN             NaN
     -4.85900000     -1.94801137             NaN             NaN             NaN
     -4.85800000     -1.94761046             NaN             NaN             NaN
     -4.85700000     -1.94720955             NaN             NaN             NaN
     -4.85600000     -1.94680864             NaN             NaN             NaN
     -4.85500000     -1.94640773             NaN             NaN             NaN
     -4.85400000     -1.94600683             NaN             NaN             NaN
     -4.85300000     -1.94560592             NaN             NaN             NaN
     -4.85200000     -1.94520501             NaN             NaN             NaN
     -4.85100000     -1.94480410             NaN             NaN             NaN
     -4.85000000     -1.94440319             NaN             NaN             NaN
     -4.84900000     -1.94400229             NaN             NaN             NaN
     -4.84800000     -1.94360138             NaN             NaN             NaN
     -4.84700000     -1.94320047             NaN             NaN             NaN
     -4.84600000     -1.94279956             NaN             NaN             NaN
     -4.84500000     -1.94239865             NaN             NaN             NaN
     -4.84400000     -1.94199775             NaN             NaN             NaN
     -4.84300000     -1.94159684             NaN             NaN             NaN
     -4.84200000     -1.94119593             NaN             NaN             NaN
     -4.84100000     -1.94079502             NaN             NaN             NaN
     -4.84000000     -1.94039412             NaN             NaN             NaN
     -4.83900000     -1.93999321             NaN             NaN             NaN
     -4.83800000     -1.93959230             NaN             NaN             NaN
     -4.83700000     -1.93919139             NaN             NaN             NaN
     -4.83600000     -1.93879048             NaN             NaN             NaN
     -4.83500000     -1.93838958             NaN             NaN             NaN
     -4.83400000     -1.93798867             NaN             NaN             NaN
     -4.83300000     -1.93758776             NaN             NaN             NaN
     -4.83200000     -1.93718685             NaN             NaN             NaN
     -4.83100000     -1.93678594             NaN             NaN             NaN
     -4.83000000     -1.93638504             NaN             NaN             NaN
     -4.82900000     -1.93598413             NaN             NaN             NaN
     -4.82800000     -1.93558322             NaN             NaN             NaN
     -4.82700000     -1.93518231             NaN             NaN             NaN
     -4.82600000     -1.93478141             NaN             NaN             NaN
     -4.82500000     -1.93438050             NaN             NaN             NaN
     -4.82400000     -1.93397959             NaN             NaN             NaN
     -4.82300000     -1.93357868             NaN             NaN             NaN
     -4.82200000     -1.93317777             NaN             NaN             NaN
     -4.82100000     -1.93277687             NaN             NaN             NaN
     -4.82000000     -1.93237596             NaN             NaN             NaN
     -4.81900000     -1.93197505             NaN             NaN             NaN
     -4.81800000     -1.93157414             NaN             NaN             NaN
     -4.81700000     -1.93117323             NaN             NaN             NaN
     -4.81600000     -1.93077233             NaN             NaN             NaN
     -4.81500000     -1.93037142             NaN             NaN             NaN
     -4.81400000     -1.92997051             NaN             NaN             NaN
